Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,JobRole,MonthlyIncome,WorkLifeBalance,YearsAtCompany
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,Sales Executive,5993,1,6
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,Research Scientist,5130,3,10
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,Laboratory Technician,2090,3,0
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,Research Scientist,2909,3,8
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,Laboratory Technician,3468,3,2
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,Laboratory Technician,3068,2,7
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,Laboratory Technician,2670,2,1
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,Laboratory Technician,2693,3,1
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,Manufacturing Director,9526,3,9
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,Healthcare Representative,5237,2,7
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,14,Laboratory Technician,2426,3,5
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,Laboratory Technician,4193,3,9
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,Research Scientist,2911,2,5
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,Laboratory Technician,2661,3,2
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,Laboratory Technician,2028,3,4
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,Manufacturing Director,9980,3,10
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,Research Scientist,3298,2,6
22,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,Laboratory Technician,2935,2,1
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,Manager,15427,3,25
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,Research Scientist,3944,3,3
24,No,Non-Travel,673,Research & Development,11,2,Other,1,26,Manufacturing Director,4011,2,4
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,Sales Representative,3407,3,5
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,Research Director,11994,3,12
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,Research Scientist,1232,3,0
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,Research Scientist,2960,3,4
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,Manager,19094,2,14
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33,Research Scientist,3919,3,10
42,No,Travel_Rarely,691,Sales,8,4,Marketing,1,35,Sales Executive,6825,3,9
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,Healthcare Representative,10248,3,22
46,No,Travel_Rarely,705,Sales,2,4,Marketing,1,38,Manager,18947,2,2
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,Laboratory Technician,2496,3,1
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,Healthcare Representative,6465,4,4
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,Laboratory Technician,2206,3,10
